,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,production
0,2017,31.67,65.795,28.52280219780221,13.934340659340661,170.0,165.10000000000002,3.9899999999999998,286.0,0 days 12:13:23.736263736,14.671153846153842,28.50741758241758,193.49175824175825,7925.849999999999,2077.55,18.29
1,2017,31.623,65.792,28.940384615384595,14.089285714285722,153.09999999999997,149.29999999999995,3.2899999999999996,248.0,0 days 12:13:22.417582417,14.989835164835183,28.17225274725276,208.1456043956044,7927.64,2096.2200000000003,18.72
2,2017,27.908,-0.317,33.41648351648348,19.535164835164842,9.5,9.5,0.0,16.0,0 days 12:12:33.461538461,24.167307692307677,38.230219780219755,103.57417582417582,8215.0,3120.3100000000004,35.17
3,2017,35.88,5.475,21.60576923076923,10.721703296703298,267.5,235.5,22.889999999999997,620.0,0 days 12:14:24.065934065,14.61208791208791,36.69478021978022,191.60164835164835,6807.889999999999,1393.39,38.75
4,2017,34.532,0.804,23.78241758241757,10.596978021978028,154.7,123.30000000000001,22.680000000000003,358.0,0 days 12:14:01.153846153,19.524725274725277,34.594230769230805,204.5412087912088,7287.63,1758.4899999999998,35.46
5,2017,34.346,3.164,23.83956043956043,12.259890109890115,109.0,104.4,3.2199999999999998,241.0,0 days 12:13:59.505494505,20.152472527472536,37.022527472527486,215.82692307692307,7424.33,1847.8600000000001,34.81
6,2017,34.342,3.169,23.889285714285716,12.311813186813186,109.0,104.4,3.2199999999999998,241.0,0 days 12:13:59.340659340,20.152472527472536,37.022527472527486,215.82692307692307,7424.33,1849.27,85.55
7,2017,34.861,4.204,23.764835164835183,12.392032967032973,124.20000000000002,121.20000000000002,2.24,293.0,0 days 12:14:09.725274725,17.570054945054938,37.58901098901098,225.62087912087912,7288.53,1717.07,33.75
8,2017,27.908,-0.317,33.41648351648348,19.535164835164842,9.5,9.5,0.0,16.0,0 days 12:12:33.461538461,24.167307692307677,38.230219780219755,103.57417582417582,8215.0,3120.3100000000004,74.02
9,2017,26.9989,1.3351,33.73763736263735,20.609890109890117,26.900000000000002,26.900000000000002,0.0,52.0,0 days 12:12:24.890109890,26.357142857142893,41.62445054945055,108.01373626373626,8188.51,3268.02,8.64
10,2017,31.285,8.565,29.219230769230776,16.746153846153856,52.900000000000006,52.900000000000006,0.0,84.0,0 days 12:13:16.648351648,22.45989010989011,35.133791208791244,133.5631868131868,7716.68,2424.74,16.67
11,2017,36.225,6.11,22.079395604395593,10.453021978021972,349.29999999999995,329.2,14.21,787.0,0 days 12:14:30.494505494,13.792307692307702,35.65494505494507,201.0686813186813,6668.68,1355.7200000000003,28.34
12,2017,33.727,2.811,25.79230769230769,13.33324175824177,68.0,64.7,2.52,163.0,0 days 12:13:51.098901098,21.33104395604394,36.16923076923075,197.48626373626374,7555.039999999999,2023.6099999999997,95.16
